issue_id,reported_by,assigned_to,status,priority,severity,sox_related,date_reported,date_resolved
1,user1@audit.com,team_b,Open,Medium,Major,No,9/1/2024,
2,user2@audit.com,team_a,Open,Low,Minor,Yes,9/2/2024,
3,user3@audit.com,team_b,Closed,Low,Minor,No,9/3/2024,10/1/2024
4,user4@audit.com,team_a,Open,High,Minor,Yes,9/4/2024,
5,user5@audit.com,team_b,Open,Medium,Critical,No,9/5/2024,
6,user6@audit.com,team_a,Closed,Low,Major,Yes,9/6/2024,10/1/2024
7,user7@audit.com,team_b,Open,Low,Minor,No,9/7/2024,
8,user8@audit.com,team_a,Open,High,Minor,Yes,9/8/2024,
9,user9@audit.com,team_b,Closed,Medium,Minor,No,9/9/2024,10/1/2024
10,user10@audit.com,team_a,Open,Low,Critical,Yes,9/10/2024,
11,user11@audit.com,team_b,Open,Low,Major,No,9/11/2024,
12,user12@audit.com,team_a,Closed,High,Minor,Yes,9/12/2024,10/1/2024
13,user13@audit.com,team_b,Open,Medium,Minor,No,9/13/2024,
14,user14@audit.com,team_a,Open,Low,Minor,Yes,9/14/2024,
15,user15@audit.com,team_b,Closed,Low,Critical,No,9/15/2024,10/1/2024
16,user16@audit.com,team_a,Open,High,Major,Yes,9/16/2024,
17,user17@audit.com,team_b,Open,Medium,Minor,No,9/17/2024,
18,user18@audit.com,team_a,Closed,Low,Minor,Yes,9/18/2024,10/1/2024
19,user19@audit.com,team_b,Open,Low,Minor,No,9/19/2024,
20,user20@audit.com,team_a,Open,High,Critical,Yes,9/20/2024,
